대피소명,주소,위도,경도,수용인원,시도,시군구
동문고등학교,대구광역시 수성구 효행로 17(만촌동),35.8767,128.6512,14854,대구,수성구
대륜중학교,대구광역시 수성구 달구벌대로 2700(만촌동),35.8527,128.6545,26812,대구,수성구
경신중.고등학교,대구광역시 수성구 달구벌대로504길 34(범어동),35.8549,128.6374,21127,대구,수성구
소선여자중학교,대구광역시 수성구 교학로8길 37(만촌동),35.85243668,128.6497718,6008,대구,수성구
오성중.고등학교,대구광역시 수성구 달구벌대로522길 78(만촌동),35.85434834,128.6453229,39332,대구,수성구
동중학교,대구광역시 수성구 수성로76길 33(수성동2가),35.85778746,128.6162192,17749,대구,수성구
중앙중.고등학교,대구광역시 수성구 신천동로 496(수성동4가),35.86723666,128.6165571,6718,대구,수성구
황금초등학교,대구광역시 수성구 들안로32길 22(황금동),35.84314879,128.618322,16641,대구,수성구
황금중학교,대구광역시 수성구 들안로32길 40(황금동),35.84313139,128.6195523,14355,대구,수성구
신천초등학교(운동장),대구광역시 동구 송라로6길 5(신천동),35.8713694,128.6206893,8054,대구,동구
반지어울림 운동장,경상남도 창원시 성산구 반지로15번길 16(반지동),35.241053,128.658808,6736,경남,창원시
반송중학교 ,경상남도 창원시 성산구 반송로 182(반림동),35.235577,128.675438,5746,경남,창원시
대구과학고등학교,대구광역시 수성구 동대구로 154(황금동),35.8452,128.6259,15612,대구,수성구
삼육초등학교,대구광역시 수성구 청수로 22-23 (중동),35.83976557,128.6104515,2738,대구,수성구
신천둔치공원,대구광역시 남구 신천서쪽자전거길 85(봉덕동),35.8403256,128.6064723,48484,대구,남구
전안초등학교 운동장,경상남도 창원시 마산회원구 내서읍 광려로 100,35.21778614,128.5024685,6997,경남,창원시
서감초등학교 운동장,부산광역시 사상구 괘감로 64(감전동),35.15743358,128.9820564,4194,부산,사상구
학장중학교 운동장,부산광역시 사상구 대동로140번길 60(학장동),35.13790078,128.982561,4788,부산,사상구
삼산초등학교운동장,울산광역시 남구 남중로108번길 19(삼산동),35.54435527,129.3494482,3858,울산,남구
대현중학교운동장,울산광역시 남구 왕생로86번길 33(달동),35.54233217,129.3335711,4281,울산,남구
웅천초등학교운동장,경상남도 창원시 진해구 웅천동로 33(남문동),35.10379037,128.7559913,2853,경남,창원시
웅동중학교운동장,경상남도 창원시 진해구 남의로116번길 50(두동),35.11247415,128.7960681,3733,경남,창원시
창원중앙중학교,경상남도 창원시 성산구 반지로3번길 14(반지동),35.240577,128.658093,6410,경남,창원시
동양대학교 주차장,경상북도 영주시 풍기읍 동양대로 145,36.88292435,128.5317589,4931,경북,영주시
풍기초등학교 운동장,경상북도 영주시 풍기읍 기주로 110,36.87142425,128.5245924,2406,경북,영주시
송도초등학교 운동장,부산광역시 서구 충무대로 25(암남동),35.07831211,129.0156518,5151,부산,서구
강남중학교운동장,울산광역시 남구 돋질로325번길 14(삼산동),35.54557214,129.3411347,2735,울산,남구
안남초등학교,경상남도 창원시 성산구 가양로 158(대방동),35.209554,128.710161,7636,경남,창원시
창원축구센터,경상남도 창원시 성산구 비음로 97(사파정동),35.22250653,128.7063535,13091,경남,창원시
남산녹지공원,경상남도 창원시 성산구 가음정로 170(가음동),35.202274,128.699887,73715,경남,창원시
동래중학교 운동장,부산광역시 동래구 충렬대로181번길 109(명륜동),35.2087599,129.080179,12757,부산,동래구
사직중학교 운동장,부산광역시 동래구 쇠미로51번길 30(사직동),35.19941532,129.0521788,6666,부산,동래구
안민중학교,경상남도 창원시 성산구 안민로160번길 11(안민동),35.18352326,128.6936823,4898,경남,창원시
삼정자 공원,경상남도 창원시 성산구 창원대로1137번길 7-1 (성주동),35.197319,128.707956,16415,경남,창원시
명장초등학교 운동장,부산광역시 동래구 복천로 121(명장동),35.20797794,129.0967946,4438,부산,동래구
부흥중학교운동장,부산광역시 해운대구 좌동순환로 226(좌동),35.17477299,129.1791719,6981,부산,해운대구
